date,eccentricity,semi_major_axis_km,orbital_period_sec,mean_anomaly_deg,semi_major_axis_au,orbital_period_year
A.D. 2020-Jan-01 00:00:00.0000,0.01712127709447231,149653795.8670241,31575846.66591343,355.8312936655853,1.0003738366513,1.000578201951778
A.D. 2020-Jan-11 00:00:00.0000,0.01587638138613935,149459321.0750804,31514317.546813,7.191892921850861,0.9990738529614673,0.9986284618226038
A.D. 2020-Jan-21 00:00:00.0000,0.01739474791129375,149690865.3290853,31587579.46684783,16.87566314942082,1.0006216307000237,1.0009499919780918
A.D. 2020-Jan-31 00:00:00.0000,0.01688309083184636,149647169.8819617,31573749.63819083,24.96320879043566,1.0003295446768796,1.0005117511531558
A.D. 2020-Feb-10 00:00:00.0000,0.0160954164516873,149458346.787098,31514009.39636843,38.41648230239664,0.9990673402485668,0.9986186971242562
A.D. 2020-Feb-20 00:00:00.0000,0.01736737916559094,149697064.6115625,31589541.7344337,45.17826213659127,1.0006630703438382,1.0010121724856675
A.D. 2020-Mar-01 00:00:00.0000,0.01660902093844798,149638745.708622,31571083.57711364,54.62244443330285,1.0002732325562573,1.0004272687756242
A.D. 2020-Mar-11 00:00:00.0000,0.0165443219047205,149461601.5702951,31515038.83194919,68.82230303559724,0.9990890971304119,0.9986513179693383
A.D. 2020-Mar-21 00:00:00.0000,0.01712782705276023,149700617.2322622,31590666.26876562,73.73092833276652,1.0006868181464177,1.0010478068283273
A.D. 2020-Mar-31 00:00:00.0000,0.01639491732524638,149627462.9298984,31567512.94939553,84.85445347420756,1.000197811838898,1.0003141224109415
A.D. 2020-Apr-10 00:00:00.0000,0.01702873052274551,149469990.5392697,31517692.17959776,98.12868021827946,0.9991451739243886,0.9987353974826274
A.D. 2020-Apr-20 00:00:00.0000,0.01675682645938183,149703892.5282348,31591703.03150441,102.8332225301112,1.0007087121476979,1.0010806598570363
A.D. 2020-Apr-30 00:00:00.0000,0.01634580580989539,149613206.436811,31563001.43157813,115.4552409713751,1.0001025130687975,1.0001711610381692
A.D. 2020-May-10 00:00:00.0000,0.01735600924355791,149481911.0874197,31521462.65877517,126.6172600648507,0.9992248578670425,0.9988548767579021
A.D. 2020-May-20 00:00:00.0000,0.01635330351409964,149708599.9687909,31593193.14539522,132.6488583686319,1.000740179444218,1.0011278787168612
A.D. 2020-May-30 00:00:00.0000,0.01650901225445872,149596424.9346878,31557691.14111297,145.9418830882675,0.9999903356558123,1.0000028880875913
A.D. 2020-Jun-09 00:00:00.0000,0.01743654508264509,149495256.6225941,31525684.04089445,154.8182452044245,0.999314067259609,0.9989886442851943
A.D. 2020-Jun-19 00:00:00.0000,0.01601856139119401,149716714.024429,31595761.6591658,163.1982433087842,1.0007944185560458,1.001209270006775
A.D. 2020-Jun-29 00:00:00.0000,0.01681112709764744,149579337.1742908,31552284.24520172,175.7624161139797,0.9998761110327141,0.9998315538951543
A.D. 2020-Jul-09 00:00:00.0000,0.01729528758693589,149508091.9342524,31529744.20983548,183.1561480344768,0.9993998660186306,0.9991173032751376
A.D. 2020-Jul-19 00:00:00.0000,0.01587568553056923,149726324.0915237,31598803.82714159,194.2853885983185,1.000858657886791,1.0013056704927368
A.D. 2020-Jul-29 00:00:00.0000,0.01709910624108121,149560825.9139552,31546427.27503491,204.7289992362591,0.9997523709002579,0.9996459577101842
A.D. 2020-Aug-08 00:00:00.0000,0.01702307137584579,149516243.664652,31532322.92120611,211.9126155298357,0.9994543569706839,0.9991990177074971
A.D. 2020-Aug-18 00:00:00.0000,0.01601462124954106,149733774.8054822,31601162.49632428,225.45772449248,1.0009084628333698,1.001380412208922
A.D. 2020-Aug-28 00:00:00.0000,0.01721324462689388,149542759.3036415,31540711.34180747,233.1643883926581,0.9996316030696119,0.999464830716134
A.D. 2020-Sep-07 00:00:00.0000,0.01669707606509532,149521454.2420268,31533971.26759125,241.2452682643504,0.9994891875291031,0.9992512506524973
A.D. 2020-Sep-17 00:00:00.0000,0.01641528350239662,149738950.9505585,31602801.14080007,256.0866694613088,1.0009430632260898,1.001432337718967
A.D. 2020-Sep-27 00:00:00.0000,0.01709827795598249,149528612.7821333,31536235.89143093,261.6260663991202,0.9995370394141133,0.9993230122515948
A.D. 2020-Oct-07 00:00:00.0000,0.01640214743784234,149526766.3292028,31535651.75578295,271.2151116423964,0.9995246966386321,0.9993045021098864
A.D. 2020-Oct-17 00:00:00.0000,0.01693833107803963,149740981.2242803,31603443.88492684,285.7033763460132,1.0009566347676653,1.001452705051298
A.D. 2020-Oct-27 00:00:00.0000,0.01681590292100141,149519111.7440102,31533230.22367675,290.5590654932626,0.9994735288970275,0.9992277683878605
A.D. 2020-Nov-06 00:00:00.0000,0.01623171727659933,149534027.0595094,31537948.74896665,301.7136185036754,0.9995732316229379,0.9993772894315996
A.D. 2020-Nov-16 00:00:00.0000,0.0173768827548437,149739117.8980358,31602853.99287394,314.3175133464293,1.0009441792010467,1.0014340125001249
A.D. 2020-Nov-26 00:00:00.0000,0.0164775950411978,149512645.5511715,31531184.68842147,320.170904765787,0.9994303050676477,0.9991629492870646
A.D. 2020-Dec-06 00:00:00.0000,0.01625751220561421,149544252.197038,31541183.65190882,332.4093005096996,0.999641582445585,0.999479797320101
A.D. 2020-Dec-16 00:00:00.0000,0.01757771312939659,149734278.8995839,31601322.07928794,342.3765110472518,1.0009118324943105,1.001385469087888
A.D. 2020-Dec-26 00:00:00.0000,0.01619591256867122,149507254.806642,31529479.39758882,350.4627513437538,0.9993942701661863,0.9991089118814112
A.D. 2021-Jan-05 00:00:00.0000,0.01648494491655101,149558218.5843512,31545602.3440269,2.799627648593372,0.9997349419783635,0.9996198172239619
A.D. 2021-Jan-15 00:00:00.0000,0.01750573542973723,149727603.3620232,31599208.80105796,10.42134859982758,1.000867209281898,1.001318503341761
A.D. 2021-Jan-25 00:00:00.0000,0.01606057548804398,149500787.1672688,31527433.48586479,21.25188509298695,0.9993510366673208,0.9990440808510402
A.D. 2021-Feb-04 00:00:00.0000,0.01681061844541669,149575345.8187481,31551021.34806432,32.45972779448595,0.9998494304688529,0.9997915350997642
A.D. 2021-Feb-14 00:00:00.0000,0.01721616201241102,149719706.8199032,31596709.04963255,38.8791401441014,1.000814424158132,1.0012392909990795
A.D. 2021-Feb-24 00:00:00.0000,0.01612954536105915,149491908.1514007,31524624.85424064,52.21222852234022,0.9992916841121904,0.998955080685497
A.D. 2021-Mar-06 00:00:00.0000,0.01706057480701129,149593022.5730237,31556614.5438471,61.38082489962559,0.9999675922728473,0.99996877277889
A.D. 2021-Mar-16 00:00:00.0000,0.01681246307035455,149711021.4254144,31593959.65302562,68.02244776665762,1.0007563658819807,1.0011521678779634
A.D. 2021-Mar-26 00:00:00.0000,0.01641902093997482,149481067.795563,31521195.91992607,82.89867138397625,0.999219220809157,0.9988464243138283
A.D. 2021-Apr-05 00:00:00.0000,0.01711358304896447,149608760.4497911,31561594.52717955,89.96761770816151,1.0000727934812184,1.0001265789280411
A.D. 2021-Apr-15 00:00:00.0000,0.0164159839862129,149702841.3528993,31591370.29105079,97.93243452932305,1.000701685474587,1.0010701159483228
A.D. 2021-Apr-25 00:00:00.0000,0.01686706766844092,149470428.6241663,31517830.74354949,112.8403730375331,0.999148102341047,0.9987397883092975
A.D. 2021-May-05 00:00:00.0000,0.01696541410264437,149621893.1886939,31565750.35944778,118.7108206559666,1.0001605804185683,1.0002582693058972
A.D. 2021-May-15 00:00:00.0000,0.01613408355585042,149696442.094606,31589344.68643231,128.4917160036243,1.0006589090750075,1.0010059284112958
A.D. 2021-May-25 00:00:00.0000,0.01731711786333351,149463031.7611091,31515491.18184769,141.7970870505012,0.9990986573655097,0.9986656520726447
A.D. 2021-Jun-04 00:00:00.0000,0.0166948447238778,149633597.7618999,31569454.40489348,147.9404242741746,1.0002388206578925,1.0003756434232476
A.D. 2021-Jun-14 00:00:00.0000,0.01604627080350317,149691486.5187984,31587776.09106808,159.4104280694521,1.0006257830967806,1.0009562226236495
A.D. 2021-Jun-24 00:00:00.0000,0.01758284527196587,149460747.4554504,31514768.68807521,169.964636837399,0.99908338772532,0.9986427576265372
A.D. 2021-Jul-04 00:00:00.0000,0.01640885274461197,149645259.7290305,31573145.11124241,177.7735743071566,1.0003167760931941,1.0004925948501284
A.D. 2021-Jul-14 00:00:00.0000,0.01618708179453341,149685994.2364411,31586037.64156104,190.2211371434523,1.000589069456863,1.00090113448301
A.D. 2021-Jul-24 00:00:00.0000,0.01755760862697287,149463205.8900315,31515546.25660482,197.8710858511683,0.9990998213454618,0.9986673972863849
A.D. 2021-Aug-03 00:00:00.0000,0.01621086370414078,149656856.8298299,31576815.43171588,208.1347036710382,1.0003942979238536,1.0006089002875973
A.D. 2021-Aug-13 00:00:00.0000,0.01650988187438773,149676378.1823996,31582993.98839549,220.4023645382459,1.0005247901058503,1.0008046869342246
A.D. 2021-Aug-23 00:00:00.0000,0.01726941755654547,149467519.4787107,31516910.5999253,226.0830883581829,0.9991286559047977,0.9987106307173327
A.D. 2021-Sep-02 00:00:00.0000,0.01618004591296357,149667465.2739988,31580172.98071351,238.7734700609076,1.0004652109931322,1.0007152945950741
A.D. 2021-Sep-12 00:00:00.0000,0.01686898359946704,149660469.3091829,31577958.76003942,249.6769949423811,1.0004184458568162,1.0006451301759138
A.D. 2021-Sep-22 00:00:00.0000,0.01683635425567002,149470623.5540189,31517892.39890326,254.972288149282,0.9991494053666296,0.998741742049562
A.D. 2021-Oct-02 00:00:00.0000,0.01634818279353591,149676944.4341646,31583173.21450204,269.3092497140889,1.0005285752651065,1.0008103662668277
A.D. 2021-Oct-12 00:00:00.0000,0.01708735576210081,149640708.9753819,31571704.90010691,278.2591229732412,1.0002863561839581,1.000446957313196
A.D. 2021-Oct-22 00:00:00.0000,0.01638994108872723,149472220.2724178,31518397.43459411,284.6845138003509,0.9991600787698767,0.998757745664883
A.D. 2021-Nov-01 00:00:00.0000,0.01668056587938521,149687052.7092665,31586372.67312273,299.3602715363735,1.000596144910681,1.0009117509925574
A.D. 2021-Nov-11 00:00:00.0000,0.01708201377572097,149622199.1833992,31565847.19311174,306.7065789310403,1.0001626258668348,1.0002613377795442
A.D. 2021-Nov-21 00:00:00.0000,0.0160465297016672,149473227.5237143,31518716.02556813,315.167487743092,0.9991668118289221,0.9987678412036445
A.D. 2021-Dec-01 00:00:00.0000,0.0170795552222006,149698918.3969217,31590128.52360775,328.6611476657414,1.0006754621335778,1.001030766712543
A.D. 2021-Dec-11 00:00:00.0000,0.01690243025946155,149607921.1967071,31561328.95320864,335.5030284485343,1.0000671834208608,1.0001181633967298
A.D. 2021-Dec-21 00:00:00.0000,0.01589839817584316,149474072.9605123,31518983.43586435,346.1542053178114,0.9991724632248548,0.9987763149245935
A.D. 2021-Dec-31 00:00:00.0000,0.01739626747902449,149711027.4158787,31593961.54930372,357.1626838980268,1.0007564059257612,1.0011522279673906
A.D. 2022-Jan-10 00:00:00.0000,0.01665647796980972,149597692.5948348,31558092.26545957,4.830096820112465,0.9999988094405065,1.0000155989511108
A.D. 2022-Jan-20 00:00:00.0000,0.01599990243036445,149476673.905837,31519806.11541947,17.18374440963951,0.9991898494704778,0.9988023840665788
A.D. 2022-Jan-30 00:00:00.0000,0.01749375275489288,149722799.5478746,31597688.0843829,25.16359180909071,1.0008350977677025,1.0012703147382216
A.D. 2022-Feb-09 00:00:00.0000,0.01644963565282832,149591672.7622425,31556187.43138849,34.68282511047153,0.9999585693450816,0.9999552384017951
A.D. 2022-Feb-19 00:00:00.0000,0.0163309508911005,149482152.7961167,31521539.11298983,47.76917688599595,0.9992264735898859,0.9988572994457701
A.D. 2022-Mar-01 00:00:00.0000,0.017303659921101,149729541.7358569,31599822.42816849,53.2693326265424,1.0008801665106648,1.0013379480115248
A.D. 2022-Mar-11 00:00:00.0000,0.01633665761578801,149584872.3621788,31554035.65125076,64.9484025487546,0.9999131114783896,0.9998870526038343
A.D. 2022-Mar-21 00:00:00.0000,0.01677443520130205,149489183.357509,31523762.95761808,77.52800965851884,0.9992734699900311,0.9989277688296347
A.D. 2022-Mar-31 00:00:00.0000,0.01689803708014332,149729872.7336605,31599927.21187527,82.02852415053881,1.0008823790943202,1.0013412684068266
A.D. 2022-Apr-10 00:00:00.0000,0.01636252582150269,149575888.2630742,31551192.9808418,95.3835650852702,0.9998530564852097,0.9997969738142888
A.D. 2022-Apr-20 00:00:00.0000,0.01716116514803891,149499218.6284913,31526937.31584587,106.3877230521459,0.999340551633208,0.99902835817191
A.D. 2022-Apr-30 00:00:00.0000,0.01643655670341939,149726803.0480178,31598955.44841954,111.6996762337866,1.0008618595132037,1.001310475081107
A.D. 2022-May-10 00:00:00.0000,0.01653969991410771,149564539.0328057,31547602.07826385,125.6728112165159,0.9997771915667094,0.9996831849780671
A.D. 2022-May-20 00:00:00.0000,0.01733375690949986,149512437.2319144,31531118.78880484,134.6995462876585,0.9994289125394243,0.999160861054226
A.D. 2022-May-30 00:00:00.0000,0.01607028667287953,149723281.9222644,31597840.78585353,142.2234669748499,1.0008383222413366,1.0012751535558322
A.D. 2022-Jun-09 00:00:00.0000,0.01683315465661044,149550450.2003507,31543144.55361651,155.4986321952025,0.9996830135387128,0.9995419345456089
